raw_value,sdk_value,feedback_sdk_value,witmotion_axis,joint,hand_model,hand_side,record_start_unix,sample_unix
255,100.0,99.6078,roll,thumb_flex,L6,left,1783506781.141,1783506788.559
240,94.1176,94.1176,roll,thumb_flex,L6,left,1783506781.141,1783506791.575
225,88.2353,88.2353,roll,thumb_flex,L6,left,1783506781.141,1783506794.588
210,82.3529,82.3529,roll,thumb_flex,L6,left,1783506781.141,1783506797.606
195,76.4706,76.4706,roll,thumb_flex,L6,left,1783506781.141,1783506800.621
180,70.5882,70.5882,roll,thumb_flex,L6,left,1783506781.141,1783506803.635
165,64.7059,64.7059,roll,thumb_flex,L6,left,1783506781.141,1783506806.647
150,58.8235,58.8235,roll,thumb_flex,L6,left,1783506781.141,1783506809.668
135,52.9412,52.9412,roll,thumb_flex,L6,left,1783506781.141,1783506812.675
120,47.0588,47.0588,roll,thumb_flex,L6,left,1783506781.141,1783506815.703
105,41.1765,41.1765,roll,thumb_flex,L6,left,1783506781.141,1783506818.715
90,35.2941,35.2941,roll,thumb_flex,L6,left,1783506781.141,1783506821.731
75,29.4118,29.4118,roll,thumb_flex,L6,left,1783506781.141,1783506824.746
60,23.5294,23.5294,roll,thumb_flex,L6,left,1783506781.141,1783506827.762
45,17.6471,17.6471,roll,thumb_flex,L6,left,1783506781.141,1783506830.77
30,11.7647,11.7647,roll,thumb_flex,L6,left,1783506781.141,1783506833.791
15,5.8824,5.8824,roll,thumb_flex,L6,left,1783506781.141,1783506836.81
0,0.0,0.0,roll,thumb_flex,L6,left,1783506781.141,1783506839.825
