raw_value,sdk_value,feedback_sdk_value,witmotion_axis,joint,hand_model,hand_side,record_start_unix,sample_unix
255,100.0,100.0,roll,thumb_abd,L6,left,1783507092.645,1783507100.028
240,94.1176,93.7255,roll,thumb_abd,L6,left,1783507092.645,1783507103.043
225,88.2353,87.8431,roll,thumb_abd,L6,left,1783507092.645,1783507106.059
210,82.3529,81.9608,roll,thumb_abd,L6,left,1783507092.645,1783507109.075
195,76.4706,76.4706,roll,thumb_abd,L6,left,1783507092.645,1783507112.086
180,70.5882,70.5882,roll,thumb_abd,L6,left,1783507092.645,1783507115.103
165,64.7059,64.7059,roll,thumb_abd,L6,left,1783507092.645,1783507118.122
150,58.8235,58.8235,roll,thumb_abd,L6,left,1783507092.645,1783507121.136
135,52.9412,52.9412,roll,thumb_abd,L6,left,1783507092.645,1783507124.153
120,47.0588,47.0588,roll,thumb_abd,L6,left,1783507092.645,1783507127.168
105,41.1765,41.1765,roll,thumb_abd,L6,left,1783507092.645,1783507130.184
90,35.2941,35.2941,roll,thumb_abd,L6,left,1783507092.645,1783507133.195
75,29.4118,29.4118,roll,thumb_abd,L6,left,1783507092.645,1783507136.216
60,23.5294,23.5294,roll,thumb_abd,L6,left,1783507092.645,1783507139.229
45,17.6471,17.6471,roll,thumb_abd,L6,left,1783507092.645,1783507142.246
30,11.7647,11.7647,roll,thumb_abd,L6,left,1783507092.645,1783507145.26
15,5.8824,5.8824,roll,thumb_abd,L6,left,1783507092.645,1783507148.273
0,0.0,0.0,roll,thumb_abd,L6,left,1783507092.645,1783507151.294
