raw_value,sdk_value,feedback_sdk_value,witmotion_axis,joint,hand_model,hand_side,record_start_unix,sample_unix
255,100.0,99.6078,roll,pinky,L6,left,1783506325.524,1783506332.902
240,94.1176,94.1176,roll,pinky,L6,left,1783506325.524,1783506335.915
225,88.2353,88.2353,roll,pinky,L6,left,1783506325.524,1783506338.934
210,82.3529,82.3529,roll,pinky,L6,left,1783506325.524,1783506341.95
195,76.4706,76.4706,roll,pinky,L6,left,1783506325.524,1783506344.967
180,70.5882,70.5882,roll,pinky,L6,left,1783506325.524,1783506347.981
165,64.7059,64.7059,roll,pinky,L6,left,1783506325.524,1783506350.997
150,58.8235,58.8235,roll,pinky,L6,left,1783506325.524,1783506354.003
135,52.9412,52.9412,roll,pinky,L6,left,1783506325.524,1783506357.027
120,47.0588,47.0588,roll,pinky,L6,left,1783506325.524,1783506360.035
105,41.1765,41.1765,roll,pinky,L6,left,1783506325.524,1783506363.057
90,35.2941,35.2941,roll,pinky,L6,left,1783506325.524,1783506366.073
75,29.4118,29.4118,roll,pinky,L6,left,1783506325.524,1783506369.088
60,23.5294,23.5294,roll,pinky,L6,left,1783506325.524,1783506372.104
45,17.6471,17.6471,roll,pinky,L6,left,1783506325.524,1783506375.111
30,11.7647,11.7647,roll,pinky,L6,left,1783506325.524,1783506378.137
15,5.8824,5.8824,roll,pinky,L6,left,1783506325.524,1783506381.152
0,0.0,0.0,roll,pinky,L6,left,1783506325.524,1783506384.168
