raw_value,sdk_value,feedback_sdk_value,witmotion_axis,joint,hand_model,hand_side,record_start_unix,sample_unix
255,100.0,99.6078,roll,thumb_flex,L6,left,1783583988.793,1783583996.184
240,94.1176,94.1176,roll,thumb_flex,L6,left,1783583988.793,1783583999.2
225,88.2353,88.2353,roll,thumb_flex,L6,left,1783583988.793,1783584002.215
210,82.3529,82.3529,roll,thumb_flex,L6,left,1783583988.793,1783584005.227
195,76.4706,76.4706,roll,thumb_flex,L6,left,1783583988.793,1783584008.246
180,70.5882,70.5882,roll,thumb_flex,L6,left,1783583988.793,1783584011.262
165,64.7059,64.7059,roll,thumb_flex,L6,left,1783583988.793,1783584014.269
150,58.8235,58.8235,roll,thumb_flex,L6,left,1783583988.793,1783584017.293
135,52.9412,52.9412,roll,thumb_flex,L6,left,1783583988.793,1783584020.309
120,47.0588,47.0588,roll,thumb_flex,L6,left,1783583988.793,1783584023.325
105,41.1765,41.1765,roll,thumb_flex,L6,left,1783583988.793,1783584026.34
90,35.2941,35.2941,roll,thumb_flex,L6,left,1783583988.793,1783584029.356
75,29.4118,29.4118,roll,thumb_flex,L6,left,1783583988.793,1783584032.371
60,23.5294,23.5294,roll,thumb_flex,L6,left,1783583988.793,1783584035.387
45,17.6471,17.6471,roll,thumb_flex,L6,left,1783583988.793,1783584038.4
30,11.7647,11.7647,roll,thumb_flex,L6,left,1783583988.793,1783584041.418
15,5.8824,5.8824,roll,thumb_flex,L6,left,1783583988.793,1783584044.434
0,0.0,0.0,roll,thumb_flex,L6,left,1783583988.793,1783584047.45
