raw_value,sdk_value,feedback_sdk_value,witmotion_axis,joint,hand_model,hand_side,record_start_unix,sample_unix
255,100.0,100.0,roll,thumb_abd,L6,left,1783584617.846,1783584625.278
240,94.1176,93.7255,roll,thumb_abd,L6,left,1783584617.846,1783584628.291
225,88.2353,88.2353,roll,thumb_abd,L6,left,1783584617.846,1783584631.306
210,82.3529,81.9608,roll,thumb_abd,L6,left,1783584617.846,1783584634.317
195,76.4706,76.4706,roll,thumb_abd,L6,left,1783584617.846,1783584637.338
180,70.5882,70.1961,roll,thumb_abd,L6,left,1783584617.846,1783584640.356
165,64.7059,64.7059,roll,thumb_abd,L6,left,1783584617.846,1783584643.371
150,58.8235,58.8235,roll,thumb_abd,L6,left,1783584617.846,1783584646.387
135,52.9412,52.9412,roll,thumb_abd,L6,left,1783584617.846,1783584649.402
120,47.0588,47.0588,roll,thumb_abd,L6,left,1783584617.846,1783584652.418
105,41.1765,41.1765,roll,thumb_abd,L6,left,1783584617.846,1783584655.426
90,35.2941,35.2941,roll,thumb_abd,L6,left,1783584617.846,1783584658.443
75,29.4118,29.4118,roll,thumb_abd,L6,left,1783584617.846,1783584661.458
60,23.5294,23.5294,roll,thumb_abd,L6,left,1783584617.846,1783584664.481
45,17.6471,17.6471,roll,thumb_abd,L6,left,1783584617.846,1783584667.49
30,11.7647,11.7647,roll,thumb_abd,L6,left,1783584617.846,1783584670.512
15,5.8824,5.8824,roll,thumb_abd,L6,left,1783584617.846,1783584673.528
0,0.0,0.0,roll,thumb_abd,L6,left,1783584617.846,1783584676.543
