raw_value,sdk_value,feedback_sdk_value,witmotion_axis,joint,hand_model,hand_side,record_start_unix,sample_unix
255,100.0,99.6078,roll,index,L6,left,1783579952.165,1783579959.825
240,94.1176,94.1176,roll,index,L6,left,1783579952.165,1783579962.84
225,88.2353,88.2353,roll,index,L6,left,1783579952.165,1783579965.856
210,82.3529,82.3529,roll,index,L6,left,1783579952.165,1783579968.872
195,76.4706,76.4706,roll,index,L6,left,1783579952.165,1783579971.887
180,70.5882,70.5882,roll,index,L6,left,1783579952.165,1783579974.902
165,64.7059,64.7059,roll,index,L6,left,1783579952.165,1783579977.918
150,58.8235,58.8235,roll,index,L6,left,1783579952.165,1783579980.934
135,52.9412,52.9412,roll,index,L6,left,1783579952.165,1783579983.949
120,47.0588,47.0588,roll,index,L6,left,1783579952.165,1783579986.963
105,41.1765,41.1765,roll,index,L6,left,1783579952.165,1783579989.977
90,35.2941,35.2941,roll,index,L6,left,1783579952.165,1783579992.997
75,29.4118,29.4118,roll,index,L6,left,1783579952.165,1783579996.012
60,23.5294,23.5294,roll,index,L6,left,1783579952.165,1783579999.025
45,17.6471,17.6471,roll,index,L6,left,1783579952.165,1783580002.04
30,11.7647,11.7647,roll,index,L6,left,1783579952.165,1783580005.059
15,5.8824,5.8824,roll,index,L6,left,1783579952.165,1783580008.07
0,0.0,0.0,roll,index,L6,left,1783579952.165,1783580011.09
