finger_id,finger,motor_raw,angle_x_root,angle_x_tip,angle_joint2
1a,拇指弯曲 (thumb_flex),0,-2.8287,-77.8532,-75.0245
1a,拇指弯曲 (thumb_flex),15,-1.8047,-72.8404,-71.0357
1a,拇指弯曲 (thumb_flex),30,-0.9141,-67.9215,-67.0074
1a,拇指弯曲 (thumb_flex),45,0.5155,-62.3729,-62.8884
1a,拇指弯曲 (thumb_flex),60,2.4104,-55.7703,-58.1807
1a,拇指弯曲 (thumb_flex),75,4.2843,-50.2609,-54.5452
1a,拇指弯曲 (thumb_flex),90,6.1802,-44.8953,-51.0755
1a,拇指弯曲 (thumb_flex),105,8.1542,-39.3799,-47.5341
1a,拇指弯曲 (thumb_flex),120,10.2453,-33.3853,-43.6306
1a,拇指弯曲 (thumb_flex),135,12.4251,-27.1968,-39.6219
1a,拇指弯曲 (thumb_flex),150,14.6106,-21.1097,-35.7203
1a,拇指弯曲 (thumb_flex),165,16.782,-15.2186,-32.0006
1a,拇指弯曲 (thumb_flex),180,18.9926,-9.3429,-28.3355
1a,拇指弯曲 (thumb_flex),195,21.3443,-3.2016,-24.5459
1a,拇指弯曲 (thumb_flex),210,23.6065,2.9718,-20.6348
1a,拇指弯曲 (thumb_flex),225,25.889,8.8899,-16.9991
1a,拇指弯曲 (thumb_flex),240,27.8912,14.836,-13.0552
1a,拇指弯曲 (thumb_flex),255,29.9236,20.6796,-9.244
