finger_id,finger,motor_raw,angle_x_root,angle_x_tip,angle_joint2
3,中指 (middle),0,-53.1449,-168.1591,-115.0142
3,中指 (middle),15,-49.1521,-159.7092,-110.5571
3,中指 (middle),30,-43.9979,-150.5897,-106.5918
3,中指 (middle),45,-38.879,-141.3632,-102.4842
3,中指 (middle),60,-33.4843,-130.9588,-97.4745
3,中指 (middle),75,-27.2957,-120.0701,-92.7744
3,中指 (middle),90,-21.8072,-109.4536,-87.6464
3,中指 (middle),105,-16.2894,-99.1133,-82.8239
3,中指 (middle),120,-10.9596,-89.1166,-78.157
3,中指 (middle),135,-5.7076,-79.1804,-73.4728
3,中指 (middle),150,-0.2734,-68.4572,-68.1838
3,中指 (middle),165,5.685,-56.5256,-62.2107
3,中指 (middle),180,11.5904,-44.8419,-56.4323
3,中指 (middle),195,17.3285,-33.4956,-50.8241
3,中指 (middle),210,22.7663,-22.9845,-45.7508
3,中指 (middle),225,28.139,-12.9369,-41.0759
3,中指 (middle),240,33.2631,-2.5415,-35.8046
3,中指 (middle),255,38.5079,7.2753,-31.2325
