raw_value,sdk_value,feedback_sdk_value,witmotion_axis,joint,hand_model,hand_side,record_start_unix,sample_unix
255,100.0,99.6078,roll,ring,L6,left,1783505592.555,1783505599.934
240,94.1176,94.1176,roll,ring,L6,left,1783505592.555,1783505602.95
225,88.2353,88.2353,roll,ring,L6,left,1783505592.555,1783505605.965
210,82.3529,82.3529,roll,ring,L6,left,1783505592.555,1783505608.981
195,76.4706,76.4706,roll,ring,L6,left,1783505592.555,1783505611.996
180,70.5882,70.5882,roll,ring,L6,left,1783505592.555,1783505615.012
165,64.7059,64.7059,roll,ring,L6,left,1783505592.555,1783505618.028
150,58.8235,58.8235,roll,ring,L6,left,1783505592.555,1783505621.043
135,52.9412,52.9412,roll,ring,L6,left,1783505592.555,1783505624.059
120,47.0588,47.0588,roll,ring,L6,left,1783505592.555,1783505627.075
105,41.1765,41.1765,roll,ring,L6,left,1783505592.555,1783505630.091
90,35.2941,35.2941,roll,ring,L6,left,1783505592.555,1783505633.106
75,29.4118,29.4118,roll,ring,L6,left,1783505592.555,1783505636.122
60,23.5294,23.5294,roll,ring,L6,left,1783505592.555,1783505639.137
45,17.6471,17.6471,roll,ring,L6,left,1783505592.555,1783505642.153
30,11.7647,11.7647,roll,ring,L6,left,1783505592.555,1783505645.161
15,5.8824,5.8824,roll,ring,L6,left,1783505592.555,1783505648.182
0,0.0,0.0,roll,ring,L6,left,1783505592.555,1783505651.2
