raw_value,sdk_value,feedback_sdk_value,witmotion_axis,joint,hand_model,hand_side,record_start_unix,sample_unix
255,100.0,99.6078,roll,ring,L6,left,1783582422.793,1783582430.2
240,94.1176,94.1176,roll,ring,L6,left,1783582422.793,1783582433.215
225,88.2353,88.2353,roll,ring,L6,left,1783582422.793,1783582436.23
210,82.3529,82.3529,roll,ring,L6,left,1783582422.793,1783582439.244
195,76.4706,76.4706,roll,ring,L6,left,1783582422.793,1783582442.262
180,70.5882,70.5882,roll,ring,L6,left,1783582422.793,1783582445.276
165,64.7059,64.7059,roll,ring,L6,left,1783582422.793,1783582448.292
150,58.8235,58.8235,roll,ring,L6,left,1783582422.793,1783582451.309
135,52.9412,52.9412,roll,ring,L6,left,1783582422.793,1783582454.325
120,47.0588,47.0588,roll,ring,L6,left,1783582422.793,1783582457.34
105,41.1765,41.1765,roll,ring,L6,left,1783582422.793,1783582460.356
90,35.2941,35.2941,roll,ring,L6,left,1783582422.793,1783582463.371
75,29.4118,29.4118,roll,ring,L6,left,1783582422.793,1783582466.384
60,23.5294,23.5294,roll,ring,L6,left,1783582422.793,1783582469.403
45,17.6471,17.6471,roll,ring,L6,left,1783582422.793,1783582472.418
30,11.7647,11.7647,roll,ring,L6,left,1783582422.793,1783582475.434
15,5.8824,5.8824,roll,ring,L6,left,1783582422.793,1783582478.451
0,0.0,0.0,roll,ring,L6,left,1783582422.793,1783582481.466
