finger_id,finger,motor_raw,angle_x_root,angle_x_tip,angle_joint2
1b,拇指侧摆 (thumb_abd),0,-40.7651,-36.7056,4.0595
1b,拇指侧摆 (thumb_abd),15,-36.9198,-33.2693,3.6505
1b,拇指侧摆 (thumb_abd),30,-32.5161,-29.3556,3.1605
1b,拇指侧摆 (thumb_abd),45,-28.5341,-25.7509,2.7831
1b,拇指侧摆 (thumb_abd),60,-24.3202,-21.9107,2.4095
1b,拇指侧摆 (thumb_abd),75,-20.3639,-18.2663,2.0976
1b,拇指侧摆 (thumb_abd),90,-16.0913,-14.3021,1.7892
1b,拇指侧摆 (thumb_abd),105,-11.5398,-9.9477,1.5921
1b,拇指侧摆 (thumb_abd),120,-7.2785,-5.9993,1.2792
1b,拇指侧摆 (thumb_abd),135,-3.3417,-2.2126,1.1291
1b,拇指侧摆 (thumb_abd),150,0.994,1.6315,0.6375
1b,拇指侧摆 (thumb_abd),165,5.0454,5.3552,0.3098
1b,拇指侧摆 (thumb_abd),180,9.1799,9.3432,0.1633
1b,拇指侧摆 (thumb_abd),195,13.4992,13.2005,-0.2987
1b,拇指侧摆 (thumb_abd),210,17.8095,17.1744,-0.6351
1b,拇指侧摆 (thumb_abd),225,22.4271,21.4539,-0.9732
1b,拇指侧摆 (thumb_abd),240,26.6988,25.6401,-1.0587
1b,拇指侧摆 (thumb_abd),255,30.7587,29.6517,-1.1071
