finger_id,finger,motor_raw,angle_x_root,angle_x_tip,angle_joint2
4,无名指 (ring),0,-51.9496,-167.5145,-115.5649
4,无名指 (ring),15,-47.4871,-158.8586,-111.3715
4,无名指 (ring),30,-42.5416,-150.1105,-107.5689
4,无名指 (ring),45,-37.2844,-140.7541,-103.4697
4,无名指 (ring),60,-31.6909,-130.6319,-98.941
4,无名指 (ring),75,-25.7855,-119.6745,-93.889
4,无名指 (ring),90,-19.9691,-109.0485,-89.0794
4,无名指 (ring),105,-14.4575,-99.2007,-84.7432
4,无名指 (ring),120,-8.4862,-89.3822,-80.8961
4,无名指 (ring),135,-2.8034,-79.1154,-76.312
4,无名指 (ring),150,2.6403,-68.2953,-70.9356
4,无名指 (ring),165,8.3666,-56.5793,-64.9459
4,无名指 (ring),180,14.9061,-44.5668,-59.4729
4,无名指 (ring),195,20.3824,-33.7199,-54.1024
4,无名指 (ring),210,25.9519,-23.5297,-49.4815
4,无名指 (ring),225,31.0949,-13.6047,-44.6996
4,无名指 (ring),240,35.5381,-3.5159,-39.054
4,无名指 (ring),255,38.6984,5.33,-33.3683
